year_,changwat_id,changwat,male_thai,female_thai,total_thai,male,female,total,n_house
2564,77,ประจวบคีรีขันธ์,266442,274204,540646,274049,279122,553171,276936
2564,80,นครศรีธรรมราช,762882,783514,1546396,764471,784873,1549344,590976
2564,81,กระบี่,236846,240275,477121,238092,241259,479351,197381
2564,82,พังงา,131586,132293,263879,133785,134231,268016,120551
2564,83,ภูเก็ต,191423,215941,407364,197874,220911,418785,277112
2564,84,สุราษฎร์ธานี,522815,541537,1064352,527349,545115,1072464,521265
2564,85,ระนอง,90243,89258,179501,98136,96437,194573,94295
2564,86,ชุมพร,249241,256145,505386,251405,258074,509479,244176
2564,90,สงขลา,691823,729783,1421606,697256,734280,1431536,562422
2564,91,สตูล,161344,162962,324306,161640,163195,324835,107562
2564,92,ตรัง,311931,326444,638375,312693,327095,639788,237935
2564,93,พัทลุง,254224,267975,522199,254425,268116,522541,199687
2564,94,ปัตตานี,359525,368468,727993,360348,369233,729581,199103
2564,95,ยะลา,269158,271653,540811,269907,272407,542314,173226
2564,96,นราธิวาส,399845,408600,808445,400501,409159,809660,223141
2565,10,กรุงเทพมหานคร,2516900,2878010,5394910,2571974,2922958,5494932,3197865
2565,11,สมุทรปราการ,637085,704769,1341854,646798,713429,1360227,750422
2565,12,นนทบุรี,596092,689545,1285637,601682,694234,1295916,739849
2565,13,ปทุมธานี,563348,628038,1191386,568877,632655,1201532,677046
2565,14,พระนครศรีอยุธยา,392534,425721,818255,393685,426732,820417,349313
2565,15,อ่างทอง,130131,142035,272166,130337,142250,272587,102932
2565,16,ลพบุรี,365486,368371,733857,366294,368999,735293,299270
2565,17,สิงห์บุรี,96188,106313,202501,96345,106452,202797,80341
2565,18,ชัยนาท,152615,165333,317948,152800,165508,318308,129825
2565,19,สระบุรี,312078,324367,636445,313213,325369,638582,294429
2565,20,ชลบุรี,763694,808463,1572157,777220,817538,1594758,1118807
2565,21,ระยอง,368406,383278,751684,372863,386523,759386,541063
2565,22,จันทบุรี,259748,272276,532024,261874,274270,536144,252725
2565,23,ตราด,107760,110309,218069,112668,115140,227808,111480
2565,24,ฉะเชิงเทรา,353659,368961,722620,355759,370928,726687,329606
2565,25,ปราจีนบุรี,245236,251409,496645,245884,251894,497778,232139
2565,26,นครนายก,128014,130966,258980,128790,131616,260406,106639
2565,27,สระแก้ว,279191,278983,558174,281252,281564,562816,226312
2565,30,นครราชสีมา,1287281,1337858,2625139,1290253,1339805,2630058,1044524
2565,31,บุรีรัมย์,779924,794780,1574704,781530,795385,1576915,490644
2565,32,สุรินทร์,681292,690039,1371331,682371,690539,1372910,415987
2565,33,ศรีสะเกษ,722951,730409,1453360,723755,730975,1454730,410815
2565,34,อุบลราชธานี,928432,932411,1860843,932120,937686,1869806,642015
2565,35,ยโสธร,264545,266693,531238,264756,266843,531599,183618
2565,36,ชัยภูมิ,550531,566162,1116693,551407,566518,1117925,413107
2565,37,อำนาจเจริญ,186252,188365,374617,186594,188788,375382,125118
2565,38,บึงกาฬ,210710,210160,420870,211158,210526,421684,143368
2565,39,หนองบัวลำภู,252810,254832,507642,253342,254983,508325,157566
2565,40,ขอนแก่น,873329,907537,1780866,876082,908559,1784641,668539
2565,41,อุดรธานี,767353,788112,1555465,772344,790704,1563048,548525
2565,42,เลย,317484,315807,633291,319099,318242,637341,234063
2565,43,หนองคาย,253096,257866,510962,255393,260402,515795,184909
2565,44,มหาสารคาม,462361,481450,943811,462896,481709,944605,313596
2565,45,ร้อยเอ็ด,638169,651730,1289899,639009,652122,1291131,407315
2565,46,กาฬสินธุ์,479170,491971,971141,479874,492227,972101,322190
2565,47,สกลนคร,567867,576189,1144056,568553,576634,1145187,402016
2565,48,นครพนม,356016,358927,714943,356834,359813,716647,239861
2565,49,มุกดาหาร,174082,174468,348550,175542,176046,351588,122358
2565,50,เชียงใหม่,781734,849173,1630907,864339,928135,1792474,866675
2565,51,ลำพูน,189970,206499,396469,191596,207961,399557,188061
2565,52,ลำปาง,348116,367858,715974,349574,369216,718790,302165
2565,53,อุตรดิตถ์,215184,226635,441819,215648,227301,442949,175738
2565,54,แพร่,206804,223205,430009,207174,223495,430669,182675
2565,55,น่าน,236152,236595,472747,236941,237598,474539,175817
2565,56,พะเยา,222886,236073,458959,224063,237368,461431,199936
2565,57,เชียงราย,569087,598034,1167121,630619,669017,1299636,579417
2565,58,แม่ฮ่องสอน,122383,119672,242055,145194,141592,286786,119841
2565,60,นครสวรรค์,500068,526772,1026840,501235,527579,1028814,429988
2565,61,อุทัยธานี,157891,165494,323385,158139,165721,323860,129514
2565,62,กำแพงเพชร,348831,358342,707173,349696,359079,708775,285190
2565,63,ตาก,273615,273115,546730,345732,338408,684140,233293
2565,64,สุโขทัย,280985,299924,580909,281413,300239,581652,224948
2565,65,พิษณุโลก,411684,431053,842737,412742,431752,844494,363476
2565,66,พิจิตร,255997,269330,525327,256341,269603,525944,202835
2565,67,เพชรบูรณ์,477881,493502,971383,479134,494252,973386,373933
2565,70,ราชบุรี,406056,433053,839109,420322,445485,865807,338676
2565,71,กาญจนบุรี,407047,409756,816803,448109,446174,894283,359348
2565,72,สุพรรณบุรี,398969,429150,828119,400366,430329,830695,315286
2565,73,นครปฐม,436329,474001,910330,442350,479532,921882,426205
2565,74,สมุทรสาคร,266456,290404,556860,283474,305954,589428,309823
2565,75,สมุทรสงคราม,89491,98210,187701,90381,99072,189453,75048
2565,76,เพชรบุรี,230059,248594,478653,232601,250349,482950,229092
2565,77,ประจวบคีรีขันธ์,265708,274814,540522,273525,279773,553298,282967
2565,80,นครศรีธรรมราช,761025,781133,1542158,762647,782500,1545147,599937
2565,81,กระบี่,237184,240608,477792,238455,241602,480057,201080
